Long,Lat,Ship_Name,Tonnage_if_Available_GRT_,Date,Event,Which Enemy,Latitude,Longitud,Fatalities,Survivors,Location,Year,attribute_10,Story,Date_old
-11.14999998,49.34999999,Adamandios Georgandis,3443,1940-06-19,Torpedo,Germany,49.35,-11.15,1,,Atlantic,1940,,,19-Jun-40
-1.999999986,46,Adamantios,4277,1940-06-20,Aerial Bombing,Germany,46,-2,0,,Atlantic,1940,,,20-Jun-40
-14.30000001,46.19999999,Adamastos,7466,1940-07-01,Shelled Uboat,Germany,46.2,-14.3,0,,Atlantic,1940,,,1-Jul-40
32.55000004,29.95999998,Aghios Georgios,3283,1941-02-04,Mine,Uncertain,29.96,32.55,3,,Mediterranean,1941,,,4-Feb-41
-16.54999998,40,Aghios Nicolaos,3687,1940-10-01,Shelled Uboat,Italy,40,-16.55,,,Atlantic,1940,,,1-Oct-40
23.51000001,37.91999999,Agios Markos,4515,1941-04-22,Aerial Bombing,Germany,37.92,23.51,,,Mediterranean,1941,,,22-Apr-41
-19.39999999,54.24000001,Anastassia,2883,1940-12-18,Torpedo,Italy,54.24,-19.4,18,,Atlantic,1940,,,18-Dec-40
-66.3,49.29999997,Anastassios Pateras,3382,1942-07-06,Torpedo,Germany,49.3,-66.3,3,,Atlantic,1942,,,6-Jul-42
21.49999998,33.04000001,Annitsa,4324,1943-01-15,Torpedo,Germany,33.04,21.5,1,33,Mediterranean,1943,,,15-Jan-43
-16.19999999,42.45000002,Antonis Georgandis,3557,1940-06-14,Torpedo,Germany,42.45,-16.2,1,,Atlantic,1940,,,14-Jun-40
-14.30000001,53.28,Aris,4810,1939-10-12,Torpedo,Germany,53.28,-14.3,2,,Atlantic,1939,,,12-Oct-39
-20.00000004,34.99999997,Aspasia,4211,1940-08-15,Torpedo,Germany,35,-20,19,0,Atlantic,1940,,,15-Aug-40
1.699999961,52.91000002,Asteria,3313,1940-01-17,Mine,Uncertain,52.91,1.7,14,11,Atlantic,1940,,,17-Jan-40
1.300000018,51.47999999,Atlanticos,5446,1942-02-21,Mine,Uncertain,51.48,1.3,0,,Atlantic,1942,,,21-Feb-42
-24.18999998,54.05000001,Carras,5234,1943-03-19,Torpedo,Germany,54.05,-24.19,0,34,Atlantic,1943,,,19-Mar-43
1.609999998,50.72999999,Clairy (Pan),5845,1940-05-21,Aerial Bombing,Germany,50.73,1.61,,,Atlantic,1940,,,21-May-40
35.43999997,24.29,Cleanthis,4153,1942-12-03,Shelled Uboat,Germany,24.29,35.44,12,22,Atlantic,1942,,,3-Dec-42
