Ship Name,Event,Day,Month,Year,Location,Fatalities,Flag
City of Rayville,Mine,9,11,1940,Pacific,1,US
Charles Pratt,Torpedo,21,12,1940,South Atlantic,2,Panama
Robin Moor,Torpedo,21,5,1941,Caribbean,0,US
Longtaker,Torpedo,17,8,1941,North Atlantic,24,Panama
Steel Seafarer,Aerial Bombing,5,9,1941,Red Sea,0,US
Montana,Torpedo,11,9,1941,North Atlantic,26,Panama
Pink Star,Torpedo,19,9,1941,South Atlantic,13,Panama
I. C. White,Torpedo,27,9,1941,South Atlantic,3,Panama
Bold Venture,Torpedo,16,10,1941,North Atlantic,17,Panama
Lehigh,Torpedo,19,10,1941,Mediterranean,0,US
Meridian,Torpedo,11,11,1941,North Atlantic,38,Panama
Crusader,Torpedo,14,11,1941,North Atlantic,33,US
Del Pidio,Mine,19,11,1941,Pacific,6,Philippines
Ediridio Mindoro,Mine,19,11,1941,Pacific,0,Philippines
Astral,Torpedo,2,12,1941,North Atlantic,37,US
Sagadahoc,Torpedo,3,12,1941,Mediterranean,1,US
